
Start setting up!
returned r= 0LISA Corrupted (0):  ¡¢£¤¥¦§¨©ª«¬­®¯PQRSTUVWXYZ[\]^_
Polling edge...

Done setting up!
11192161121,0,1
11192181085,1,1
11192201076,2,0
11192221080,3,0
11192241084,4,0
11192261079,5,0
11192281076,6,0
11192301076,7,1
11192321074,8,0
11192341074,9,1
11192361074,10,0
11192381074,11,0
11192401075,12,0
11192421075,13,0
11192441075,14,1
11192461076,15,1
11192481076,16,0
11192501074,17,1
11192521074,18,0
11192541073,19,0
11192561074,20,0
11192581077,21,1
11192601078,22,0
11192621079,23,1
11192641077,24,0
11192661076,25,1
11192681076,26,0
11192701075,27,0
11192721076,28,0
11192741077,29,1
11192761074,30,1
11192781075,31,1
11192801074,32,0
11192821078,33,1
11192841090,34,0
11192861082,35,0
11192881080,36,1
11192901078,37,0
11192921079,38,0
11192941075,39,1
11192961075,40,0
11192981077,41,1
11193001076,42,0
11193021076,43,0
11193041075,44,1
11193061073,45,0
11193081074,46,1
11193101077,47,1
11193121074,48,0
11193141075,49,1
11193161074,50,0
11193181076,51,0
11193201075,52,1
11193221074,53,1
11193241076,54,0
11193261077,55,1
11193281076,56,0
11193301073,57,1
11193321076,58,0
11193341078,59,0
11193361075,60,1
11193381075,61,1
11193401077,62,1
11193421077,63,1
11193441085,64,0
11193461079,65,1
11193481079,66,0
11193501078,67,1
11193521075,68,1
11193541075,69,0
11193561075,70,0
11193581074,71,0
11193601075,72,1
11193621075,73,0
11193641075,74,1
11193661074,75,0
11193681076,76,1
11193701074,77,0
11193721075,78,0
11193741074,79,1
11193761075,80,1
11193781075,81,0
11193801075,82,1
11193821074,83,0
11193841075,84,1
11193861077,85,0
11193881074,86,1
11193901076,87,0
11193921075,88,1
11193941076,89,0
11193961076,90,1
11193981074,91,0
11194001075,92,1
11194021080,93,0
11194041083,94,1
11194061081,95,1
11194081078,96,1
11194101077,97,0
11194121081,98,1
11194141076,99,0
11194161076,100,1
11194181074,101,1
11194201076,102,0
11194221075,103,0
11194241075,104,1
11194261075,105,0
11194281075,106,1
11194301075,107,0
11194321074,108,1
11194341075,109,1
11194361075,110,0
11194381075,111,1
11194401074,112,1
11194421075,113,0
11194441075,114,1
11194461075,115,0
11194481076,116,1
11194501076,117,1
11194521073,118,1
11194541073,119,0
11194561075,120,1
11194581075,121,0
11194601076,122,1
11194621080,123,0
11194641084,124,1
11194661083,125,1
11194681079,126,1
11194701076,127,1
11194721078,128,0
11194741077,129,1
11194761076,130,0
11194781074,131,1
11194801076,132,0
11194821074,133,0
11194841075,134,0
11194861076,135,0
11194881075,136,0
11194901075,137,1
11194921076,138,0
11194941080,139,1
11194961073,140,0
11194981077,141,0
11195001075,142,0
11195021074,143,1
11195041075,144,0
11195061075,145,1
11195081075,146,0
11195101076,147,1
11195121076,148,0
11195141073,149,0
11195161077,150,1
11195181075,151,0
11195201075,152,0
11195221080,153,1
11195241081,154,0
11195261083,155,1
11195281077,156,0
11195301075,157,0
11195321078,158,1
11195341079,159,1
11195361077,160,0
11195381072,161,1
11195401077,162,0
11195421073,163,1
11195441075,164,0
11195461075,165,1
11195481082,166,0
11195501078,167,0
11195521073,168,0
11195541076,169,1
11195561075,170,0
11195581075,171,1
11195601076,172,0
11195621076,173,1
11195641075,174,0
11195661076,175,1
11195681075,176,0
11195701074,177,1
11195721076,178,0
11195741076,179,1
11195761077,180,0
11195781076,181,1
11195801075,182,1
11195821077,183,0
11195841084,184,0
11195861083,185,1
11195881077,186,0
11195901076,187,1
11195921077,188,0
11195941076,189,1
11195961075,190,1
11195981076,191,1
11196001075,192,0
